var_c1,var_c2,generic_label_en,generic_label_de,soft_trend_explanation,trend
D_Q09,D2_Q10,Type of contract,Art des Vertrags,"The answer categories for the contract type are updated to bring them in line with the ongoing change on the labour market. Two contract types are added: a zero hour contract and a freelance, contractor and/or consultant contract. Also, seasonal contracts are now explicitly mentioned with the fixed term contracts category. This was recommended by the working group on 'Skills use and mismatch'. See document 'Improving the measurement of skills use and mismatch in the second cycle of PIAAC' (pp.",Soft
D_Q10,D2_Q11,Working hours,Arbeitszeit,,Strict
D_Q12a,D2_Q12a,Required education for getting current job,"Erforderliche Ausbildung, um den aktuellen Job zu bekommen","PIAAC Cycle 1 made use of the old version of ISCED (ISCED 1997) as the new one was not yet implemented at the time the national versions of the BQ were developed. For PIAAC Cycle 2 we use a coding scheme based on ISCED 2011, distinguishing a maximum of 28 different categories: this allows a good differentiation between different levels and types of qualifications ",Soft
,D2_Q12b,Qualification to get the job is also qualification to do the job,"Die Qualifikation, den Job zu bekommen, ist auch die Qualifikation, den Job auszuführen",,New in Cy2
,D2_Q12c,Required education for doing current job,Erforderliche Ausbildung für die aktuelle Tätigkeit,,New in Cy2
D_Q12c,D2_Q12d,Required work experience,Erforderliche Berufserfahrung,,Strict
D_Q14,D2_Q13,Job satisfaction,Arbeitszufriedenheit,,Strict
D_Q16a,D2_Q14a,Earnings basis,Verdienstbasis,,Strict
D_Q16b,D2_Q14b,Usual gross pay,Üblicher Bruttolohn,,Strict
D_Q16c,D2_Q14c,Usual gross pay,Üblicher Bruttolohn,,Strict
D_Q16d1,D2_Q14d1,Specification plausible hourly wage,Angabe eines plausiblen Stundenlohns,,Strict
D_Q16d2,D2_Q14d2,Specification plausible hourly wage,Angabe eines plausiblen Stundenlohns,,Strict
D_Q16d3,D2_Q14d3,Specification plausible hourly wage,Angabe eines plausiblen Stundenlohns,,Strict
D_Q16d4,D2_Q14d4,Specification plausible hourly wage,Angabe eines plausiblen Stundenlohns,,Strict
D_Q16d5,D2_Q14d5,Specification plausible hourly wage,Angabe eines plausiblen Stundenlohns,,Strict
D_Q16d6,D2_Q14d6,Specification plausible hourly wage,Angabe eines plausiblen Stundenlohns,,Strict
D_Q17a,D2_Q15a,Additional earnings?,Zusatzverdienst?,,Strict
D_Q17b,D2_Q15b,How much additional earnings?,Wie viel Zusatzverdienst?,,Strict
D_Q17c,D2_Q15c,Prepared to answer in broad categories,"Bereit, in breiten Kategorien zu antworten",,Strict
D_Q17d,D2_Q15d,Broad ranges for additional payments,Große Bandbreiten für Nachzahlungen,,Strict
D_Q18a,D2_Q16a,Earnings from business,Einnahmen aus dem Geschäft,,Strict
D_Q18b,D2_Q16b,Earnings from business,Einnahmen aus dem Geschäft,,Strict
D_Q18c1,D2_Q16c1,Broad earnings ranges for self-employed,Große Verdienstspannen für Selbstständige,,Strict
D_Q18c2,D2_Q16c2,Broad earnings ranges for self-employed,Große Verdienstspannen für Selbstständige,,Strict
D_S09,D2_S10,Specify type of contract,Vertragsart angeben,,Strict
D_S16a,D2_S14a,Earnings basis,Verdienstbasis,,Strict
E_Q01a,E2_Q01a,Job title of last job,Berufsbezeichnung der letzten Tätigkeit,,Strict
E_Q01b,E2_Q01b,Most important responsibilities in last job,Wichtigste Aufgaben im letzten Job,,Strict
E_Q02a,E2_Q02a,"Kind of business, industry or service","Art von Geschäft, Branche oder Dienstleistung",,Strict
E_Q02b,E2_Q02b,Firm or organisation ,Firma oder Organisation,,Strict
E_Q03,E2_Q03,Sector,Sektor,,Strict
E_Q04,E2_Q04,Employee or self-employed,Angestellter oder Selbstständiger,,Strict
E_Q05a1,E2_Q05a1,Age start working former employer,Alter des früheren Arbeitgebers,,Strict
E_Q05a2,E2_Q05a2,Year start working former employer,Jahr Beginn der Arbeit beim ehemaligen Arbeitgeber,,Strict
E_Q05b1,E2_Q05b1,Age start working in former business,Alter beginnt in einem früheren Unternehmen zu arbeiten,,Strict
E_Q05b2,E2_Q05b2,Year start working in former business ,Jahr Beginn der Arbeit im ehemaligen Unternehmen,,Strict
E_Q06,E2_Q06,Firm size,Feste Größe,The answer categories for firm size are changed to bring them in line with the international definition. This was recommended by the working group on 'Skills use and mismatch'. See document 'Improving the measurement of skills use and mismatch in the second cycle of PIAAC' (pp. 17).  ,Soft
E_Q07a,E2_Q07a,Employees working for you,"Mitarbeiter, die für Sie arbeiten",,Strict
E_Q07b,E2_Q07b,Number of employees,Anzahl der Mitarbeiter, The answer categories for firm size are changed to bring them in line with the international definition. This was recommended by the working group on 'Skills use and mismatch'. See document 'Improving the measurement of skills use and mismatch in the second cycle of PIAAC' (pp. 17).  ,Soft
E_Q10,E2_Q08,Type of contract in last job,Art des Vertrags im letzten Job,"The answer categories for the contract type are updated to bring them in line with the ongoing change on the labour market. Two contract types are added: a zero hour contract and a freelance, contractor and/or consultant contract. Also, seasonal contracts are now explicitly mentioned with the fixed term contracts category. This was recommended by the working group on 'Skills use and mismatch'. See document 'Improving the measurement of skills use and mismatch in the second cycle of PIAAC' (pp. 17).",Soft
E_Q09,E2_Q09,Working hours in last job,Arbeitszeiten im letzten Job,,Strict
,E2_Q10a,Required education for getting last job,Erforderliche Ausbildung für den letzten Job,,New in Cy2
,E2_Q10b,Qualification to get the job is also qualification to do the job,"Die Qualifikation, den Job zu bekommen, ist auch die Qualifikation, den Job auszuführen",,New in Cy2
,E2_Q10c,Required education for doing last job,Erforderliche Ausbildung für die letzte Tätigkeit,,New in Cy2
,E2_Q10d,Required work experience,Erforderliche Berufserfahrung,,New in Cy2
,E2_Q11a,Stopped working in last job voluntarily or involuntarily,Hat im letzten Job freiwillig oder unfreiwillig aufgehört zu arbeiten,,New in Cy2
,E2_Q11b,Main reason stopped working in last job,"Der Hauptgrund dafür war, dass ich im letzten Job nicht mehr gearbeitet habe",,New in Cy2
E_S08,E2_S08,Specify former contract type,Geben Sie die frühere Vertragsart an,,Strict
G_Q01a,F2_Q01a,Read directions and instruction,Lesen Sie die Anweisungen und Anweisungen,,Strict
G_Q01b,F2_Q01b,"Read letters, memos or e-mails","Lesen Sie Briefe, Memos oder E-Mails",,Strict
G_Q01c,F2_Q01c,"Read articles in newspaper, magazines or newsletters ","Lesen Sie Artikel in Zeitungen, Zeitschriften oder Newslettern",,Strict
,F2_Q01d,"Read books, scholarly publications, or articles in professional journals ","Lesen Sie Bücher, wissenschaftliche Veröffentlichungen oder Artikel in Fachzeitschriften",,New in Cy2
G_Q01f,F2_Q01e,Read manuals or reference materials,Lesen Sie Handbücher oder Referenzmaterialien,,Strict
G_Q01g,F2_Q01f,"Read bills, invoices, bank statements or other financial statements","Lesen Sie Rechnungen, Rechnungen, Kontoauszüge oder andere Finanzberichte",,Strict
,F2_Q01g,Read posts or commentaries on social media,Lesen Sie Beiträge oder Kommentare in sozialen Medien,,New in Cy2
G_Q02a,F2_Q02a,"Write letters, memos or emails","Schreiben Sie Briefe, Memos oder E-Mails",,Strict
,F2_Q02b,Write reports or articles,Schreiben Sie Berichte oder Artikel,,New in Cy2
G_Q02d,F2_Q02c,Fill in forms,Füllen Sie Formulare aus,,Strict
,F2_Q02d,Write posts or commentaries on social media,Schreiben Sie Beiträge oder Kommentare in sozialen Medien,,New in Cy2
,F2_Q03a,Undertake calculations,Führen Sie Berechnungen durch,,New in Cy2
,F2_Q03b,"Use maps, plans or GPS for finding directions and locations","Verwenden Sie Karten, Pläne oder GPS, um Wegbeschreibungen und Standorte zu finden",,New in Cy2
,F2_Q03c,Undertake measurements,Nehmen Sie Messungen vor,,New in Cy2
G_Q03f,F2_Q03d,"Read and prepare charts, graphs or tables","Lesen und bereiten Sie Diagramme, Grafiken oder Tabellen vor","An important use of graphs and charts is the ability to read them, not to just prepare them. Therefore the wording changed in ‘read and prepare’ instead of ‘prepare’.",Soft
G_Q03h,F2_Q03e,Use advanced mathematics or statistics,Verwenden Sie fortgeschrittene Mathematik oder Statistik,These items are compared to Cycle 1 generally somewhat broader and generic.,Soft
G_Q04,F2_Q04,Use a computer ,Benutzen Sie einen Computer,,Strict
G_Q05a,F2_Q05a,Use email,Verwenden Sie E-Mail,Combined with G_Q05h for Cy2,Soft
G_Q05h,F2_Q05a,Participate in real-time discussions on the internet,Nehmen Sie an Echtzeitdiskussionen im Internet teil,Combined with G_Q05a for Cy2,Soft
,F2_Q05a,Use ICT to communicate with others,"Nutzen Sie IKT, um mit anderen zu kommunizieren",,New in Cy2
G_Q05c,F2_Q05c,Use ICT to access information ,"Nutzen Sie IKT, um auf Informationen zuzugreifen",These items are compared to Cycle 1 generally somewhat broader and generic.,Soft
,F2_Q05d,"Use ICT to create or edit electronic documents, spreadsheets or presentations","Nutzen Sie IKT, um elektronische Dokumente, Tabellenkalkulationen oder Präsentationen zu erstellen oder zu bearbeiten",,New in Cy2
,F2_Q05e,Use ICT to use specialized software,"Nutzen Sie IKT, um spezielle Software zu nutzen",,New in Cy2
G_Q05g,F2_Q05f,Use a programming language to program or write computer code,"Verwenden Sie IKT, um eine Programmiersprache zum Programmieren von Software zu verwenden",These items are compared to Cycle 1 generally somewhat broader and generic.,Soft
H_Q01a,G2_Q01a,Read directions and instruction,Lesen Sie die Anweisungen und Anweisungen,,Strict
H_Q01b,G2_Q01b,"Read letters, memos or e-mails","Lesen Sie Briefe, Memos oder E-Mails",,Strict
H_Q01c,G2_Q01c,"Read articles in newspaper, magazines or newsletters ","Lesen Sie Artikel in Zeitungen, Zeitschriften oder Newslettern",,Strict
H_Q01e,G2_Q01d,"Read books, fiction or non-fiction","Lesen Sie Bücher, Belletristik oder Sachbücher",,Strict
H_Q01f,G2_Q01e,Read manuals or reference materials,Lesen Sie Handbücher oder Referenzmaterialien,,Strict
H_Q01g,G2_Q01f ,"Read bills, invoices, bank statements or other financial statements","Lesen Sie Rechnungen, Rechnungen, Kontoauszüge oder andere Finanzberichte",,Strict
,G2_Q01g,Read posts or commentaries on social media,Lesen Sie Beiträge oder Kommentare in sozialen Medien,,New in Cy2
H_Q02a,G2_Q02a,"Write letters, memos or emails","Schreiben Sie Briefe, Memos oder E-Mails",,Strict
,G2_Q02b,Write reports or articles,Schreiben Sie Berichte oder Artikel,,New in Cy2
H_Q02d,G2_Q02c,Fill in forms,Füllen Sie Formulare aus,,Strict
,G2_Q02d,Write posts or commentaries on social media,Schreiben Sie Beiträge oder Kommentare in sozialen Medien,,New in Cy2
,G2_Q03a,Undertake calculations,Führen Sie Berechnungen durch,,New in Cy2
,G2_Q03b,Use information to make financial decisions,"Nutzen Sie Informationen, um finanzielle Entscheidungen zu treffen",,New in Cy2
,G2_Q03c,Undertake measurements,Nehmen Sie Messungen vor,,New in Cy2
H_Q03f,G2_Q03d,"Read and prepare charts, graphs or tables","Lesen und bereiten Sie Diagramme, Grafiken oder Tabellen vor","An important use of graphs and charts is the ability to read them, not to just prepare them. Therefore the wording changed in ‘read and prepare’ instead of ‘prepare’.",Soft
,G2_Q03e,Use mathematics,Verwenden Sie Mathematik,,New in Cy2
,G2_Q04,"Ever used smartphone, tablet, laptop or desktop computer","Haben Sie jemals ein Smartphone, ein Tablet, einen Laptop oder einen Desktop-Computer verwendet?",,New in Cy2
H_Q05a,G2_Q05a,Use email,Verwenden Sie E-Mail,Combined with H_Q05h for Cy2,Soft
H_Q05h,G2_Q05a,Participate in real-time discussions on the internet,Nehmen Sie an Echtzeitdiskussionen im Internet teil,Combined with H_Q05a for Cy2,Soft
,G2_Q05a,How often use smartphone,Wie oft Smartphone nutzen?,,New in Cy2
,G2_Q05b,How often use tablet,Wie oft verwenden Sie das Tablet?,,New in Cy2
,G2_Q05c,How often use desktop computer,Wie oft wird ein Desktop-Computer verwendet?,,New in Cy2
,G2_Q06a,Use ICT to communicate with others,"Nutzen Sie IKT, um mit anderen zu kommunizieren",,New in Cy2
H_Q05c,G2_Q06b,Use ICT to access information,"Nutzen Sie IKT, um auf Informationen zuzugreifen",The item is generally somewhat broader and generic.,Soft
,G2_Q06c,Use ICT for entertainment or leisure,Nutzen Sie IKT zur Unterhaltung oder Freizeit,,New in Cy2
,G2_Q06d,Use ICT for online banking or e-commerce,Nutzen Sie IKT für Online-Banking oder E-Commerce,,New in Cy2
,G2_Q06e,Use ICT to manage your personal life,"Nutzen Sie IKT, um Ihr Privatleben zu verwalten",,New in Cy2
F_Q01b,H2_Q01,Cooperating or collaborating with co-workers,Mit Kollegen kooperieren oder zusammenarbeiten,In Cycle 1 this question was asked with a broken stem (In your ^JobLastjob what proportion of your time ^DoDid you usually spend…). This is however not necessary as only 1 question is asked in this section. Therefore in Cycle 2 it changed into a complete question with dynamic text: ‘In your current job (last job) what proportion of your time do (did) you usually spend cooperating or collaborating with co-workers?’  ,Soft
,H2_Q02a,Permanent/temporary team,Ständiges/temporäres Team,,New in Cy2
,H2_Q02b,Team leader,Teamleiter,,New in Cy2
,H2_Q02c,Influence selection team leader,Beeinflussen Sie den Leiter des Auswahlteams,,New in Cy2
,H2_Q02d,Influence work targets for group,Beeinflussen Sie die Arbeitsziele der Gruppe,,New in Cy2
,H2_Q02e,Influence others on tasks ,Beeinflussen Sie andere bei Aufgaben,,New in Cy2
F_Q02a,H2_Q03a,Job involve sharing work-related information with co-workers,"Bei der Arbeit geht es darum, arbeitsbezogene Informationen mit Kollegen zu teilen",,Strict
F_Q02b,H2_Q03b,"Job involve instructing, training or teaching people","Zu den Aufgaben gehört es, Menschen anzuleiten, auszubilden oder zu unterrichten",,Strict
F_Q02c,H2_Q03c,Job involve making speeches/presenting,Der Job umfasst das Halten von Reden/Präsentationen,,Strict
,H2_Q03d,Job involve dealing with people who are not employees at the workplace,"Der Job beinhaltet den Umgang mit Menschen, die nicht am Arbeitsplatz beschäftigt sind",,New in Cy2
F_Q03a,H2_Q04a,Job involve planning own activities,Der Job beinhaltet die Planung eigener Aktivitäten,,Strict
F_Q03c,H2_Q04b,Job involve organising own time,Der Job beinhaltet die Organisation der eigenen Zeit,,Strict
F_Q04a,H2_Q05a,Job involve persuading/influencing people,"Der Job besteht darin, Menschen zu überzeugen/zu beeinflussen",,Strict
F_Q04b,H2_Q05b,Job involve negotiating with people ,Der Job beinhaltet das Verhandeln mit Menschen,,Strict
F_Q05a,H2_Q06a,Problem solving tasks in job: relatively simple problems,Problemlösungsaufgaben im Beruf: relativ einfache Probleme,,Strict
F_Q05b,H2_Q06b,Problem solving tasks in job: complex problems ,Problemlösungsaufgaben im Beruf: komplexe Probleme,,Strict
F_Q06b,H2_Q07a,Work physically,Arbeite körperlich,,Strict
F_Q06c,H2_Q07b,Work using skill with hand,Arbeiten Sie mit Geschicklichkeit mit der Hand,The wording was changed to avoid that respondents consider e.g. typing when answering to this question. ,Soft
D_Q11a,H2_Q08a,Work autonomy: choose/change sequence tasks,Arbeitsautonomie: Reihenfolge der Aufgaben auswählen/ändern,,Strict
D_Q11b,H2_Q08b,Work autonomy: choose/change how to work,Arbeitsautonomie: Arbeitsweise wählen/ändern,,Strict
